text,weight,degree,closeness,betweenness,eigenvector,katz,average,naverage,pca1,pca2
濃い暗い色,1.0,0.00684931506849315,0.05039875842147285,0.0,1.3044776839117282e-08,0.06797653758885047,0.187537437354,0.0397172150375388,-0.296617423793,-0.0314921701378
使いたくなる,2.0,0.0136986301369863,0.0753022545103611,0.047709022201228156,2.0504390368556486e-05,0.0756867882618536,0.368736199917,0.17678103472340476,0.701812711871,-0.0971490662107
先端が尖っていない,1.0,0.0136986301369863,0.01902587519025875,0.0003778932451582428,5.186254210878895e-20,0.07554434396726799,0.18477445709,0.03773715933534882,-0.297372896793,-0.0481554709313
安全,2.0,0.02054794520547945,0.02446183953033268,0.0007557864903164856,6.575906838426405e-20,0.08247501772570984,0.354706764825,0.12569235161000067,0.698379750494,-0.133517185232
グリップが硬い,2.0,0.02054794520547945,0.12699489126994892,0.029381199811053377,0.03221828716350139,0.08615260631233027,0.38254915496,0.2585257741278951,0.705504081613,-0.0437187555097
手ごたえがある,1.0,0.0136986301369863,0.108545703962749,0.009919697685403874,0.0074541334993717435,0.0759158136057469,0.202588996482,0.13270823314773958,-0.293446319454,0.0110257018172
持ってる実感がある,1.0,0.00684931506849315,0.09454410824273837,0.0,0.0016411834542947629,0.06808376121321157,0.195186394663,0.08281659464695376,-0.29503816181,-0.00473498823223
芯が細い,3.0,0.03424657534246575,0.15269623831267667,0.1558827631194188,0.08248415238070413,0.10546847227501498,0.588463033572,0.4965450834395903,1.71149074458,-0.0539336016675
シャープ,1.0,0.0136986301369863,0.13916619187990786,0.004156825696740671,0.04209286370415153,0.08034692146141438,0.213243572147,0.17723321478367307,-0.289953339557,0.0552583512686
細かい字が書きやすい,1.0,0.02054794520547945,0.15391780821917808,0.01596261556110399,0.10870562216757032,0.09307914975918555,0.232035523485,0.2575678702543907,-0.283525047083,0.119829901089
字がきれいに書ける,4.0,0.0684931506849315,0.18280024729118538,0.26958128078817717,0.4277461865374214,0.1757232432865597,0.854057351431,0.9597320595956771,2.74091143096,0.173927883715
0.5mmくらい,1.0,0.00684931506849315,0.12636930067256,0.0,0.018159588131626724,0.07103901865504157,0.203736203755,0.12352669638140472,-0.29267022877,0.026889016042
カバーが円錐状,1.0,0.00684931506849315,0.013171759747102213,0.0,2.406948955783876e-20,0.06804661508312887,0.181344614983,0.004094931661919712,-0.297840415527,-0.0529559603557
キャップに消しゴム,1.0,0.0136986301369863,0.09140012364559269,0.009919697685403872,0.002106207425448538,0.07504658006535185,0.198695206493,0.1130918263678831,-0.294436086762,-0.00314777730989
別に消しゴムが不要,1.0,0.0136986301369863,0.10413924778022873,0.019650448748228622,0.009103217361655836,0.07754716615753601,0.204023118364,0.1374930727701462,-0.293015065191,0.0117024291477
便利,3.0,0.0273972602739726,0.12062524155108001,0.03017672507516626,0.03924152909433751,0.09550332109646012,0.552157346182,0.3414588768084987,1.70147345044,-0.130022520611
あればサイズは問わない,1.0,0.00684931506849315,0.08126600222765475,0.0,0.0004637108623499237,0.0679968384558145,0.192762644436,0.06953255987852745,-0.295566380209,-0.0133233792663
狭いスペースに書ける,1.0,0.00684931506849315,0.12720480018113892,0.0,0.0239332755725248,0.0698000834927994,0.204631245719,0.12451187487407628,-0.292230862253,0.0317091954587
先端が収納できる,1.0,0.00684931506849315,0.01556662515566625,0.0,3.796601583331386e-20,0.06873968245896647,0.181859270447,0.007421503507278775,-0.297746424273,-0.0514833853888
